"","model","year","anom","obs.prob","preind.prob","FAR"
"193","IPSL.CM5A.LR",1969,-1.03450067017124,0.866666666666667,0.35,0.596153846153846
"194","IPSL.CM5A.LR",1970,-0.454134840295893,0.683333333333333,0.0833333333333333,0.878048780487805
"195","IPSL.CM5A.LR",1971,-1.81815131579209,1,0.666666666666667,0.333333333333333
"196","IPSL.CM5A.LR",1972,-1.36153361354136,0.95,0.533333333333333,0.43859649122807
"197","IPSL.CM5A.LR",1973,-1.36362872713516,0.966666666666667,0.533333333333333,0.448275862068966
"198","IPSL.CM5A.LR",1974,-0.544627364198504,0.733333333333333,0.133333333333333,0.818181818181818
"199","IPSL.CM5A.LR",1975,-1.59985645048354,0.983333333333333,0.6,0.389830508474576
"200","IPSL.CM5A.LR",1976,-1.17813042608259,0.916666666666667,0.383333333333333,0.581818181818182
"201","IPSL.CM5A.LR",1977,0.00272401733757271,0.45,0.0333333333333333,0.925925925925926
"202","IPSL.CM5A.LR",1978,-0.217138545703326,0.6,0.0666666666666667,0.888888888888889
"203","IPSL.CM5A.LR",1979,0.380879030605877,0.266666666666667,0.0166666666666667,0.9375
"204","IPSL.CM5A.LR",1980,-0.245956162521962,0.616666666666667,0.0666666666666667,0.891891891891892
"205","IPSL.CM5A.LR",1981,0.462447162411669,0.216666666666667,0,1
"206","IPSL.CM5A.LR",1982,-0.837057019550365,0.833333333333333,0.283333333333333,0.66
"207","IPSL.CM5A.LR",1983,0.626917203677137,0.2,0,1
"208","IPSL.CM5A.LR",1984,0.336364000169171,0.3,0.0166666666666667,0.944444444444444
"209","IPSL.CM5A.LR",1985,-0.589282287374645,0.75,0.15,0.8
"210","IPSL.CM5A.LR",1986,0.333415425091244,0.316666666666667,0.0166666666666667,0.947368421052632
"211","IPSL.CM5A.LR",1987,0.0758441856779091,0.433333333333333,0.0333333333333333,0.923076923076923
"212","IPSL.CM5A.LR",1988,-0.442483747791814,0.666666666666667,0.0833333333333333,0.875
"213","IPSL.CM5A.LR",1989,0.0779782039873037,0.416666666666667,0.0333333333333333,0.92
"214","IPSL.CM5A.LR",1990,-0.0385396897425241,0.483333333333333,0.05,0.896551724137931
"215","IPSL.CM5A.LR",1991,-0.132160999073242,0.5,0.0666666666666667,0.866666666666667
"216","IPSL.CM5A.LR",1992,0.152491166438986,0.4,0.0333333333333333,0.916666666666667
"217","IPSL.CM5A.LR",1993,0.713634372291098,0.183333333333333,0,1
"218","IPSL.CM5A.LR",1994,0.30166005838468,0.35,0.0166666666666667,0.952380952380952
"219","IPSL.CM5A.LR",1995,-0.136547867076718,0.516666666666667,0.0666666666666667,0.870967741935484
"220","IPSL.CM5A.LR",1996,-0.166697355255671,0.566666666666667,0.0666666666666667,0.882352941176471
"221","IPSL.CM5A.LR",1997,0.939123386929974,0.116666666666667,0,1
"222","IPSL.CM5A.LR",1998,0.454095721090473,0.233333333333333,0,1
"223","IPSL.CM5A.LR",1999,-1.04565272684706,0.883333333333333,0.35,0.60377358490566
"224","IPSL.CM5A.LR",2000,-0.345132821298843,0.633333333333333,0.0833333333333333,0.868421052631579
"225","IPSL.CM5A.LR",2001,-0.619659713006213,0.766666666666667,0.166666666666667,0.782608695652174
"226","IPSL.CM5A.LR",2002,0.284724865263887,0.383333333333333,0.0166666666666667,0.956521739130435
"227","IPSL.CM5A.LR",2003,0.73390677675377,0.166666666666667,0,1
